time,painel_fotovoltaico_tensao,painel_fotovoltaico_corrente,painel_fotovoltaico_potencia,painel_fotovoltaico_temperatura,painel_fotovoltaico_radiacao,painel_fotovoltaico_inclinacao,eletrolisador_tensao,eletrolisador_corrente,eletrolisador_densidade_corrente,eletrolisador_temperatura,eletrolisador_caudal_H2,eletrolisador_caudal_H2O,eletrolisador_pressao,eletrolisador_potencia,tanque_pressao,tanque_volume,tanque_temperatura,celula_combustivel_tensao,celula_combustivel_corrente,celula_combustivel_temperatura,celula_combustivel_caudal_H2,celula_combustivel_caudal_H2O,celula_combustivel_pressao,celula_combustivel_potencia,bateria_tensao,bateria_corrente,bateria_temperatura,bateria_soc,rede_tensao,rede_corrente
77,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5008877067699383,0,20
78,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5008999568387297,0,20
79,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.500912206907521,0,20
80,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5009244569763124,0,20
81,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5009367070451037,0,20
82,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5009489571138951,0,20
83,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5009612071826864,0,20
84,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5009734572514778,0,20
85,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5009857073202691,0,20
86,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5009979573890605,0,20
87,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5010102074578519,0,20
88,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5010224575266432,0,20
89,48,18.823641710749698,903.5348021159855,15.5012382451412,870.4615736948384,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5010347075954346,0,20
90,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5010362760731536,0,20
91,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.501048526141945,0,20
92,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5010607762107363,0,20
93,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5010730262795277,0,20
94,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.501085276348319,0,20
95,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5010975264171104,0,20
96,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5011097764859017,0,20
97,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5011220265546931,0,20
98,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5011342766234844,0,20
99,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5011465266922758,0,20
100,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5011587767610671,0,20
101,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5011710268298585,0,20
102,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5011832768986498,0,20
103,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5011955269674412,0,20
104,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5012077770362325,0,20
105,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5012200271050239,0,20
106,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5012322771738152,0,20
107,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5012445272426066,0,20
108,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.501256777311398,0,20
109,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5012690273801893,0,20
110,48,10.812448406452452,518.9975235097177,15.5012382451412,500,0,0,11.859317927191329,0,0,0,0,0,21.34677226894439,0.0,0,300,0,0.0,0,0,0,0,0.0,0,0,0,0.5012812774489807,0,20
